Название,Категория,UPC (Айди),Описание,Рейтинг,Тип продукта,Цена без налога,Цена с налогом:,Налог,Наличие,Кол-во отзывов,Картинка,Ссылка
Alight (The Generations Trilogy #2),Default,d9290e99f189ce84,"Alight is the second installment in the YA sci-fi adventure trilogy by New York Times bestselling author Scott Sigler, hot on the heels of Alive.Alight reveals to readers the further adventures of Em, Spingate, O’Malley, Bishop, and the other young heroes introduced in Alive. In Alive, Em fought to assert herself as leader and her friends tried to comprehend their own myst Alight is the second installment in the YA sci-fi adventure trilogy by New York Times bestselling author Scott Sigler, hot on the heels of Alive.Alight reveals to readers the further adventures of Em, Spingate, O’Malley, Bishop, and the other young heroes introduced in Alive. In Alive, Em fought to assert herself as leader and her friends tried to comprehend their own mysterious identity; now she must wrestle not with the challenge of winning power but the grave responsibility of having assumed it, and she and her friends must contend with a grim fact: the revelation of their identity is not an answer but another question—and one with terrifying implications. ...more",4,Books,£58.59,£58.59,£0.00,In stock (5 available),0,https://books.toscrape.com/media/cache/43/74/43749a90eed0e03d9975116ad44fbde3.jpg,https://books.toscrape.com/catalogue/alight-the-generations-trilogy-2_360/index.html
A Girl's Guide to Moving On (New Beginnings #2),Romance,cf3b86489890b9f2,"NEW YORK TIMES BESTSELLER • In this powerful and uplifting novel, a mother and her daughter-in-law bravely leave their troubled marriages and face the challenge of starting over. Leaning on each other, Nichole and Leanne discover that their inner strength and capacity for love are greater than they ever imagined. When Nichole discovers that her husband, Jake, has been unfa NEW YORK TIMES BESTSELLER • In this powerful and uplifting novel, a mother and her daughter-in-law bravely leave their troubled marriages and face the challenge of starting over. Leaning on each other, Nichole and Leanne discover that their inner strength and capacity for love are greater than they ever imagined. When Nichole discovers that her husband, Jake, has been unfaithful, the illusion of her perfect life is indelibly shattered. While juggling her young son, a new job, and volunteer work, Nichole meets Rocco, who is the opposite of Jake in nearly every way. Though blunt-spoken and rough around the edges, Rocco proves to be a dedicated father and thoughtful friend. But just as their relationship begins to blossom, Jake wagers everything on winning Nichole back—including their son Owen’s happiness. Somehow, Nichole must find the courage to defy her fears and follow her heart, with far-reaching consequences for them all. Leanne has quietly ignored her husband’s cheating for decades, but is jolted into action by the echo of Nichole’s all-too-familiar crisis. While volunteering as a teacher of English as a second language, Leanne meets Nikolai, a charming, talented baker from Ukraine. Resolved to avoid the heartache and complications of romantic entanglements, Leanne nonetheless finds it difficult to resist Nikolai’s effusive overtures—until an unexpected tragedy tests the very fabric of her commitments. An inspiring novel of friendship, reinvention, and hope, A Girl’s Guide to Moving On affirms the ability of every woman to forge a new path, believe in love, and fearlessly find happiness.Praise for A Girl’s Guide to Moving On “Debbie Macomber’s finest novel. Betrayal and sorrow can happen in any stage of life and, in this wonderful story, her very nimble hands weave a spectacular kaleidoscope of courage, struggles, and finally joyous redemption and reinvention. Macomber totally understands the human heart. I absolutely loved it!”—Dorothea Benton Frank, New York Times bestselling author of All the Single Ladies “Whispers a message of love, hope, and, yes, reinvention to every woman who has ever wondered ‘Is that all there is?’ I predict every diehard Macomber fan—as well as legions of readers new to the Macomber magic—will be cheering for Leanne and Nichole, and clamoring for more, more, more.”—Mary Kay Andrews, New York Times bestselling author of Beach Town, Ladies’ Night, and Summer Rental “Macomber is a master at pulling heartstrings, and readers will delight in this heartwarming story of friendship, love, and second chances. Leanne, Nichole, Rocco, and Nikolai will renew your faith in love and hope. The perfect read curled up in front of the fire or on a beach, it’s as satisfying as a slice of freshly baked bread—wholesome, pleasantly filling, and delicious.”—Karen White, New York Times bestselling author of Flight Patterns “Beloved author Debbie Macomber reaches new heights in this wise and beautiful novel. It’s the kind of reading experience that comes along only rarely, bearing the hallmarks of a classic. The timeless wisdom in these pages will stay with you long after the book is closed.”—Susan Wiggs, #1 New York Times bestselling author of Starlight on Willow Lake “Debbie dazzles! A wonderful story of friendship, forgiveness and the power of love. I devoured every page!”—Susan Mallery, #1 New York Times bestselling author of The Friends We Keep ...more",1,Books,£31.30,£31.30,£0.00,In stock (5 available),0,https://books.toscrape.com/media/cache/17/94/17940ad8d367ea5f28db57e7fc32dac9.jpg,https://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
A Game of Thrones (A Song of Ice and Fire #1),Add a comment,03cbb67c0f990d87,"Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must … and a dead enemy is a thing of beauty.The old gods have no power in the Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must … and a dead enemy is a thing of beauty.The old gods have no power in the south, Stark’s family is split and there is treachery at court. Worse, the vengeance-mad heir of the deposed Dragon King has grown to maturity in exile in the Free Cities. He claims the Iron Throne. ...more",2,Books,£46.42,£46.42,£0.00,In stock (5 available),0,https://books.toscrape.com/media/cache/37/09/3709ede7460008ec539deb7cd44b688e.jpg,https://books.toscrape.com/catalogue/a-game-of-thrones-a-song-of-ice-and-fire-1_358/index.html
A Feast for Crows (A Song of Ice and Fire #4),Fantasy,f2c8f4b4c94d5c5c,"With A Feast for Crows, Martin delivers the long-awaited fourth volume of the landmark series that has redefined imaginative fiction and stands as a modern masterpiece in the making.After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it's not long before the survivors, outlaws, renegades, and carrion eaters With A Feast for Crows, Martin delivers the long-awaited fourth volume of the landmark series that has redefined imaginative fiction and stands as a modern masterpiece in the making.After centuries of bitter strife, the seven powers dividing the land have beaten one another into an uneasy truce. But it's not long before the survivors, outlaws, renegades, and carrion eaters of the Seven Kingdoms gather. Now, as the human crows assemble over a banquet of ashes, daring new plots and dangerous new alliances are formed while surprising faces—some familiar, others only just appearing—emerge from an ominous twilight of past struggles and chaos to take up the challenges of the terrible times ahead. Nobles and commoners, soldiers and sorcerers, assassins and sages, are coming together to stake their fortunes...and their lives. For at a feast for crows, many are the guests—but only a few are the survivors. ...more",4,Books,£17.21,£17.21,£0.00,In stock (5 available),0,https://books.toscrape.com/media/cache/6f/b7/6fb724034c86041a52b247ae53613413.jpg,https://books.toscrape.com/catalogue/a-feast-for-crows-a-song-of-ice-and-fire-4_357/index.html
A Clash of Kings (A Song of Ice and Fire #2),Add a comment,89a89e76f3516357,"Alternate cover edition can be found here. Time is out of joint. The summer of peace and plenty, ten years long, is drawing to a close, and the harsh, chill winter approaches like an angry beast. Two great leaders—Lord Eddard Stark and Robert Baratheon—who held sway over an age of enforced peace are dead...victims of royal treachery. Now, from the ancient citadel of Dragon Alternate cover edition can be found here. Time is out of joint. The summer of peace and plenty, ten years long, is drawing to a close, and the harsh, chill winter approaches like an angry beast. Two great leaders—Lord Eddard Stark and Robert Baratheon—who held sway over an age of enforced peace are dead...victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns, as pretenders to the Iron Throne of the Seven Kingdoms prepare to stake their claims through tempest, turmoil, and war. As a prophecy of doom cuts across the sky—a comet the color of blood and flame—six factions struggle for control of a divided land. Eddard's son Robb has declared himself King in the North. In the south, Joffrey, the heir apparent, rules in name only, victim of the scheming courtiers who teem over King's Landing. Robert's two brothers each seek their own dominion, while a disfavored house turns once more to conquest. And a continent away, an exiled queen, the Mother of Dragons, risks everything to lead her precious brood across a hard hot desert to win back the crown that is rightfully hers. A Clash of Kings transports us into a magnificent, forgotten land of revelry and revenge, wizardry and wartime. It is a tale in which maidens cavort with madmen, brother plots against brother, and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. Against a backdrop of incest and fratricide, alchemy and murder, the price of glory may be measured in blood. And the spoils of victory may just go to the men and women possessed of the coldest steel...and the coldest hearts. For when rulers clash, all of the land feels the tremors. Audacious, inventive, brilliantly imagined, A Clash of Kings is a novel of dazzling beauty and boundless enchantment;a tale of pure excitement you will never forget. ...more",3,Books,£10.79,£10.79,£0.00,In stock (5 available),0,https://books.toscrape.com/media/cache/6d/73/6d739416776a66c258ef0cb35f3eb9e1.jpg,https://books.toscrape.com/catalogue/a-clash-of-kings-a-song-of-ice-and-fire-2_356/index.html
Vogue Colors A to Z: A Fashion Coloring Book,Default,a8f4577a48023344,"In this first-ever coloring book from American Vogue, you are invited into a world of fashion fantasy. Twenty-six archival magazine covers from 1912 to 1932, by ten celebrated illustrators living here and abroad, take you back to a more playful and whimsical moment of boas, bows, hats and headpieces, fans, pearls and gloves, and even exotic animals. Coloring book fans of a In this first-ever coloring book from American Vogue, you are invited into a world of fashion fantasy. Twenty-six archival magazine covers from 1912 to 1932, by ten celebrated illustrators living here and abroad, take you back to a more playful and whimsical moment of boas, bows, hats and headpieces, fans, pearls and gloves, and even exotic animals. Coloring book fans of all ages can try their hand at the Art Deco patterns and letters from A to Z and the lively drawings of women dressed for the task at hand, whether it is driving their own car, pruning morning glories in the garden, feeding a dragon, steering a gondola, sitting on a crescent moon, perched on a peacock or riding a zebra—side-saddle, of course. This is the Vogue woman as liberated, stylish, and always dressed for adventure. ...more",4,Books,£52.35,£52.35,£0.00,In stock (4 available),0,https://books.toscrape.com/media/cache/09/db/09db3ae79413c88e4ca1aab30368d63d.jpg,https://books.toscrape.com/catalogue/vogue-colors-a-to-z-a-fashion-coloring-book_355/index.html
The Shining (The Shining #1),Default,d4de23aa98acc65b,"Danny was only five years old but in the words of old Mr Halloran he was a 'shiner', aglow with psychic voltage. When his father became caretaker of the Overlook Hotel his visions grew frighteningly out of control. As winter closed in and blizzards cut them off, the hotel seemed to develop a life of its own. It was meant to be empty, but who was the lady in Room 217, and w Danny was only five years old but in the words of old Mr Halloran he was a 'shiner', aglow with psychic voltage. When his father became caretaker of the Overlook Hotel his visions grew frighteningly out of control. As winter closed in and blizzards cut them off, the hotel seemed to develop a life of its own. It was meant to be empty, but who was the lady in Room 217, and who were the masked guests going up and down in the elevator? And why did the hedges shaped like animals seem so alive? Somewhere, somehow there was an evil force in the hotel - and that too had begun to shine... ...more",3,Books,£27.88,£27.88,£0.00,In stock (4 available),0,https://books.toscrape.com/media/cache/ea/cb/eacbd43aaf46f527416aa5d6561b29ad.jpg,https://books.toscrape.com/catalogue/the-shining-the-shining-1_354/index.html
The Pilgrim's Progress,Classics,6053ddf69c967d5f,"Often rated as important as the Bible as a Christian document, this famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial Cit Often rated as important as the Bible as a Christian document, this famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial City.Along a road filled with monsters and spiritual terrors, Christian confronts such emblematic characters as Worldly Wiseman, Giant Despair, Talkative, Ignorance, and the demons of the Valley of the Shadow of Death. But he is also joined by Hopeful and Faithful.An enormously influential 17th-century classic, universally known for its simplicity, vigor, and beauty of language, The Pilgrim's Progress remains one of the most widely read books in the English language. ...more",2,Books,£50.26,£50.26,£0.00,In stock (4 available),0,https://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
The Perfect Play (Play by Play #1),Romance,9cc207168a03470d,"Football pro Mick Riley is an all-star, both on the field and in the bedroom. But a sexy, determinedly single mom just might be the one to throw him off his game...For years Mick has been taking full advantage of the life available to a pro athlete: fame, fortune, and a different girl in every city. But when he meets and beds confident, beautiful event planner Tara Lincoln Football pro Mick Riley is an all-star, both on the field and in the bedroom. But a sexy, determinedly single mom just might be the one to throw him off his game...For years Mick has been taking full advantage of the life available to a pro athlete: fame, fortune, and a different girl in every city. But when he meets and beds confident, beautiful event planner Tara Lincoln, he wants much more than the typical one-night stand. Too bad Tara's not interested in getting to know football's most notorious playboy any better.As the single mother of a teenage son, the last thing Tara needs is the jet-set lifestyle of Mick Riley; even though their steamy and passionate one-night stand was unforgettable. Tara's life is complicated enough without being thrust into the spotlight as Mick's latest girl du jour. Tara played the game of love once and lost big, and she doesn't intend to put herself out there again, especially with a heartbreaker like Mick.But when Mick sets his mind to win, nothing will stop him. And he has the perfect play in mind. ...more",3,Books,£59.99,£59.99,£0.00,In stock (4 available),0,https://books.toscrape.com/media/cache/b0/be/b0be8b72b97ba3185f7d55235d0be76f.jpg,https://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html
The Passion of Dolssa,Historical Fiction,011674f4a3834b8d,"Dolssa is a young gentlewoman with uncanny gifts, on the run from an obsessed friar determined to burn her as a heretic for the passion she refuses to tame.Botille is a wily and charismatic peasant, a matchmaker running a tavern with her two sisters in a tiny seaside town.The year is 1241; the place, Provensa, what we now call Provence, France—a land still reeling from the Dolssa is a young gentlewoman with uncanny gifts, on the run from an obsessed friar determined to burn her as a heretic for the passion she refuses to tame.Botille is a wily and charismatic peasant, a matchmaker running a tavern with her two sisters in a tiny seaside town.The year is 1241; the place, Provensa, what we now call Provence, France—a land still reeling from the bloody crusades waged there by the Catholic Church and its northern French armies.When the matchmaker finds the mystic near death by a riverside, Botille takes Dolssa in and discovers the girl’s extraordinary healing power. But as the vengeful Friar Lucien hunts down his heretic, the two girls find themselves putting an entire village at the mercy of murderers. ...more",5,Books,£28.32,£28.32,£0.00,In stock (4 available),0,https://books.toscrape.com/media/cache/b3/59/b35975c0df26c40964028a8ccabc9a91.jpg,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
