Название,Категория,UPC (Айди),Описание,Рейтинг,Тип продукта,Цена без налога,Цена с налогом:,Налог,Наличие,Кол-во отзывов,Картинка,Ссылка
Mothering Sunday,Fiction,47e1b2d43f709995,"From the Booker Award winner: a luminous, profoundly moving work of fiction that begins with an afternoon tryst in 1924 between a servant girl and the young man of the neighboring house, but then opens to reveal the whole life of a remarkable woman.Twenty-two year old Jane Fairchild, orphaned at birth, has worked as a maid at one English country estate since she was sixtee From the Booker Award winner: a luminous, profoundly moving work of fiction that begins with an afternoon tryst in 1924 between a servant girl and the young man of the neighboring house, but then opens to reveal the whole life of a remarkable woman.Twenty-two year old Jane Fairchild, orphaned at birth, has worked as a maid at one English country estate since she was sixteen. And for almost all of those years she has been the secret lover to Paul Sheringham, the scion of the estate next door. On an unseasonably warm March afternoon, Jane and Paul will make love for the last time--though not, as Jane believes, because Paul is about to be married--and the events of the day will alter Jane's life forever. As the narrative moves back and forth from 1924 to the end of the century, what we know and understand about Jane--about the way she loves, thinks, feels, sees, remembers--deepens with every beautifully wrought moment. Her story is one of profound self-discovery and through her, Graham Swift has created an emotionally soaring and deeply affecting work of fiction. ...more",2,Books,£13.34,£13.34,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/9b/1a/9b1a03d05c16c71050daefad8840ec91.jpg,https://books.toscrape.com/catalogue/mothering-sunday_600/index.html
"Mother, Can You Not?",Nonfiction,28b2df9fadc9f07e,"Based on the wildly popular Instagram account @CrazyJewishMom, Kate Siegel's essay collection about life with the woman who redefined the term ""helicopter mom"" There is nothing more wonderful than a mother’s love. There is also nothing more annoying. Who else can proudly insist that you’re perfect while simultaneously making you question every career, fashion, andrelation Based on the wildly popular Instagram account @CrazyJewishMom, Kate Siegel's essay collection about life with the woman who redefined the term ""helicopter mom""   There is nothing more wonderful than a mother’s love. There is also nothing more annoying. Who else can proudly insist that you’re perfect while simultaneously making you question every career, fashion, and relationship decision you have ever made?   No one understands the delicate mother-daughter dynamic better than Kate Siegel—her own mother drove her so crazy that she decided to broadcast their hilarious conversations on Instagram. Soon, hundreds of thousands of people were following their daily text exchanges, eager to see what outrageous thing Kate’s mom would do next. Now, in Mother, Can You NOT?, Kate pays tribute to the woman who invented the concept of drone parenting.  From embarrassing moments (like crashing Kate's gynecological exams) to outrageous stories (like the time she made Kate steal a cat from the pound) to hilarious celebrations (including but not limited to parties for Kate's menstrual cycles), Mother, Can you NOT? lovingly lampoons the lengths to which our mothers will go to better our lives (even if it feels like they’re ruining them in the process). ...more",5,Books,£16.89,£16.89,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/88/b4/88b464746c5882cc605827a0521ddcea.jpg,https://books.toscrape.com/catalogue/mother-can-you-not_599/index.html
M Train,Autobiography,5569c3fea112718e,"From the National Book Award-winning author of Just Kids: an unforgettable odyssey into the mind of this legendary artist, told through the prism of cafés and haunts she has visited and worked in around the world.M Train is a journey through eighteen ""stations."" It begins in the tiny Greenwich Village café where Smith goes every morning for black coffee, ruminates on the w From the National Book Award-winning author of Just Kids: an unforgettable odyssey into the mind of this legendary artist, told through the prism of cafés and haunts she has visited and worked in around the world.M Train is a journey through eighteen ""stations."" It begins in the tiny Greenwich Village café where Smith goes every morning for black coffee, ruminates on the world as it is and the world as it was, and writes in her notebook. We then travel, through prose that shifts fluidly between dreams and reality, past and present, across a landscape of creative aspirations and inspirations: from Frida Kahlo's Casa Azul in Mexico, to a meeting of an Arctic explorer's society in Berlin; from the ramshackle seaside bungalow in New York's Far Rockaway that Smith buys just before Hurricane Sandy hits, to the graves of Genet, Plath, Rimbaud, and Mishima. Woven throughout are reflections on the writer's craft and on artistic creation, alongside signature memories including her life in Michigan with her husband, guitarist Fred Sonic Smith, whose untimely death was an irremediable loss. For it is loss, as well as the consolation we might salvage from it, that lies at the heart of this exquisitely told memoir, one augmented by stunning black-and-white Polaroids taken by Smith herself. M Train is a meditation on endings and on beginnings: a poetic tour de force by one of the most brilliant multiplatform artists at work today. ...more",1,Books,£27.18,£27.18,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/f0/9f/f09fd4a3200b94db86364f308ac02530.jpg,https://books.toscrape.com/catalogue/m-train_598/index.html
Lilac Girls,Historical Fiction,bade9943ee01b63f,"Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades.New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then s Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades. New York socialite Caroline Ferriday has her hands full with her post at the French consulate and a new love on the horizon. But Caroline’s world is forever changed when Hitler’s army invades Poland in September 1939—and then sets its sights on France.   An ocean away from Caroline, Kasia Kuzmerick, a Polish teenager, senses her carefree youth disappearing as she is drawn deeper into her role as courier for the underground resistance movement. In a tense atmosphere of watchful eyes and suspecting neighbors, one false move can have dire consequences.   For the ambitious young German doctor, Herta Oberheuser, an ad for a government medical position seems her ticket out of a desolate life. Once hired, though, she finds herself trapped in a male-dominated realm of Nazi secrets and power.   The lives of these three women are set on a collision course when the unthinkable happens and Kasia is sent to Ravensbrück, the notorious Nazi concentration camp for women. Their stories cross continents—from New York to Paris, Germany, and Poland—as Caroline and Kasia strive to bring justice to those whom history has forgotten. ...more",2,Books,£17.28,£17.28,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/c0/80/c080a1626edf581b780420db13e7b074.jpg,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
Lies and Other Acts of Love,Fiction,469508882dfc1991,"Dear Carolina was praised as “Southern fiction at its best.”* Now author Kristy Woodson Harvey presents a new novel about what it really means to tell the truth . . . After sixty years of marriage and five daughters, Lynn “Lovey” White knows that all of us, from time to time, need to use our little white lies. Her granddaughter, Annabelle, on the other hand, is as truth Dear Carolina was praised as “Southern fiction at its best.”* Now author Kristy Woodson Harvey presents a new novel about what it really means to tell the truth . . .   After sixty years of marriage and five daughters, Lynn “Lovey” White knows that all of us, from time to time, need to use our little white lies.   Her granddaughter, Annabelle, on the other hand, is as truthful as they come. She always does the right thing—that is, until she dumps her hedge fund manager fiancé and marries a musician she has known for three days. After all, her grandparents, who fell in love at first sight, have shared a lifetime of happiness, even through her grandfather’s declining health.   But when Annabelle’s world starts to collapse around her, she discovers that nothing about her picture-perfect family is as it seems. And Lovey has to decide whether one more lie will make or break the ones she loves . . . ...more",1,Books,£45.14,£45.14,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/8f/26/8f269de5ec7cef02e538eb0466c68f0c.jpg,https://books.toscrape.com/catalogue/lies-and-other-acts-of-love_596/index.html
Lab Girl,Autobiography,825d6c44da3ca5a6,"""A smart, enthralling, and winning debut.” —Cheryl Strayed Acclaimed scientist Hope Jahren has built three laboratories in which she’s studied trees, flowers, seeds, and soil. Her first book is a revelatory treatise on plant life—but it is also so much more. Lab Girl is a book about work, love, and the mountains that can be moved when those two things come together. It is ""A smart, enthralling, and winning debut.” —Cheryl Strayed   Acclaimed scientist Hope Jahren has built three laboratories in which she’s studied trees, flowers, seeds, and soil. Her first book is a revelatory treatise on plant life—but it is also so much more. Lab Girl is a book about work, love, and the mountains that can be moved when those two things come together. It is told through Jahren’s stories: about her childhood in rural Minnesota with an uncompromising mother and a father who encouraged hours of play in his classroom’s labs; about how she found a sanctuary in science, and learned to perform lab work done “with both the heart and the hands”; and about the inevitable disappointments, but also the triumphs and exhilarating discoveries, of scientific work.Yet at the core of this book is the story of a relationship Jahren forged with a brilliant, wounded man named Bill, who becomes her lab partner and best friend. Their sometimes rogue adventures in science take them from the Midwest across the United States and back again, over the Atlantic to the ever-light skies of the North Pole and to tropical Hawaii, where she and her lab currently make their home. ...more",1,Books,£40.85,£40.85,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/26/ff/26ffcda626a5561e483afa19b58db8ac.jpg,https://books.toscrape.com/catalogue/lab-girl_595/index.html
Keep Me Posted,Womens Fiction,20dc4f1ac5d4fd9c,"Two sisters share the surprising highs and cringe-worthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. Sisters Cassie and Sid Sunday have not done a bang-up job of keeping in touch. In their defense, it hasn’t been easy: life veered in sharply different directions for the once-close sisters. Today, Two sisters share the surprising highs and cringe-worthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. Sisters Cassie and Sid Sunday have not done a bang-up job of keeping in touch. In their defense, it hasn’t been easy: life veered in sharply different directions for the once-close sisters. Today, beautiful and big-hearted Sid lives an expat’s life of leisure in far-off Singapore, while harried, iPhone-clutching Cassie can’t seem to make it work as a wife and a mom to twin toddlers in Manhattan.   It doesn't help that Sid spurns all social media while Cassie is addicted to Facebook. So when Sid issues a challenge to reconnect the old-fashioned way—through real, handwritten letters—Cassie figures, why not?   The experiment exceeds both of their expectations, and the letters become a kind of mutual confessional that have real and soul-satisfying effects. And they just might have the power to help Cassie save her marriage, and give Sid the strength to get her life back on track.   But first, one of Cassie’s infamous lapses in judgment comes back to bite her, and all of the letters wind up the one place you’d never, ever want to see them: the Internet... ...more",4,Books,£20.46,£20.46,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/9c/84/9c845ad6a9d4ecf44d53ac0e3b8f54ae.jpg,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,ce8666d9b42fc9a0,"A groundbreaking approach to transforming traumatic legacies passed down in families over generations, by an acclaimed expert in the field Depression. Anxiety. Chronic Pain. Phobias. Obsessive thoughts. The evidence is compelling: the roots of these difficulties may not reside in our immediate life experience or in chemical imbalances in our brains—but in the lives of our A groundbreaking approach to transforming traumatic legacies passed down in families over generations, by an acclaimed expert in the field  Depression. Anxiety. Chronic Pain. Phobias. Obsessive thoughts. The evidence is compelling: the roots of these difficulties may not reside in our immediate life experience or in chemical imbalances in our brains—but in the lives of our parents, grandparents, and even great-grandparents. The latest scientific research, now making headlines, supports what many have long intuited—that traumatic experience can be passed down through generations. It Didn’t Start with You builds on the work of leading experts in post-traumatic stress, including Mount Sinai School of Medicine neuroscientist Rachel Yehuda and psychiatrist Bessel van der Kolk, author of The Body Keeps the Score. Even if the person who suffered the original trauma has died, or the story has been forgotten or silenced, memory and feelings can live on. These emotional legacies are often hidden, encoded in everything from gene expression to everyday language, and they play a far greater role in our emotional and physical health than has ever before been understood.   As a pioneer in the field of inherited family trauma, Mark Wolynn has worked with individuals and groups on a therapeutic level for over twenty years. It Didn’t Start with You offers a pragmatic and prescriptive guide to his method, the Core Language Approach. Diagnostic self-inventories provide a way to uncover the fears and anxieties conveyed through everyday words, behaviors, and physical symptoms. Techniques for developing a genogram or extended family tree create a map of experiences going back through the generations. And visualization, active imagination, and direct dialogue create pathways to reconnection, integration, and reclaiming life and health. It Didn’t Start With You is a transformative approach to resolving longstanding difficulties that in many cases, traditional therapy, drugs, or other interventions have not had the capacity to touch. ...more",3,Books,£56.27,£56.27,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/d3/26/d326484793116ccc786957d31e4fe912.jpg,https://books.toscrape.com/catalogue/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle_593/index.html
Grey (Fifty Shades #4),Womens Fiction,b5953ca1f8a0b8d7,"See the world of Fifty Shades of Grey anew through the eyes of Christian Grey.In Christian's own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world.Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the See the world of Fifty Shades of Grey anew through the eyes of Christian Grey.In Christian's own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world.Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him—past the business prodigy and the penthouse lifestyle to Christian’s cold, wounded heart.  Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him?This book is intended for mature audiences. ...more",4,Books,£48.49,£48.49,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/c8/06/c806501c08d2b2cd72f2362a3da6ab80.jpg,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
"Exit, Pursued by a Bear",Young Adult,c65c25d990fc7025,"“I love you,” Polly says suddenly when I’m almost to the door.“I know,” I say.Hermione Winters has been a flyer. She’s been captain of her cheerleading team. The envied girlfriend and the undisputed queen of her school. Now it’s her last year and those days and those labels are fading fast. In a few months she’ll be a different person. She thinks she’s ready for whatever c “I love you,” Polly says suddenly when I’m almost to the door.“I know,” I say.Hermione Winters has been a flyer. She’s been captain of her cheerleading team. The envied girlfriend and the undisputed queen of her school. Now it’s her last year and those days and those labels are fading fast. In a few months she’ll be a different person. She thinks she’s ready for whatever comes next.But then someone puts something in her drink at a party, and in an instant she finds herself wearing new labels, ones she never imagined:Victim. Survivor. That raped girl.Even though this was never the future she imagined, one essential thing remains unchanged: Hermione can still call herself Polly Olivier’s best friend, and that may be the truest label of all.Heartbreaking and empowering, Exit, Pursued by a Bear is the story of transcendent friendship in the face of trauma.“I love you,” I say, because I really, really do.“I know,” says Polly. ...more",4,Books,£51.34,£51.34,£0.00,In stock (11 available),0,https://books.toscrape.com/media/cache/fc/8c/fc8c996d0976a29c5c37bc11923a02f1.jpg,https://books.toscrape.com/catalogue/exit-pursued-by-a-bear_591/index.html
